"neighbourhood","listings_count","avg_price","avg_booked","avg_income"
Praha 18,11,94.7781818181818182,194.3636363636363636,20470.800000000000
Praha 1,2608,113.4870398773006135,165.0406441717791411,17864.087561349693
Praha 13,42,93.6495238095238095,186.7857142857142857,17466.797142857143
Praha 2,1348,96.0060830860534125,188.9970326409495549,17299.350830860534
Libuš,16,111.9000000000000000,136.3750000000000000,15758.132500000000
Praha 10,260,82.6801538461538462,179.3884615384615385,14679.534307692308
Zličín,11,86.4218181818181818,152.2727272727272727,14389.745454545455
Praha 3,856,77.9602803738317757,190.5362149532710280,14263.077570093458
Praha 7,332,96.0504819277108434,156.3373493975903614,14059.702168674699
Praha 14,22,72.2981818181818182,188.4090909090909091,13927.261818181818
Praha 9,107,82.8456074766355140,175.4485981308411215,13411.753644859813
Praha 5,712,90.8730337078651685,155.7893258426966292,13194.975112359551
Praha 8,480,89.0335000000000000,147.4562500000000000,12749.157166666667
Praha 4,249,78.7815261044176707,169.6546184738955823,12707.640160642570
Praha 6,237,83.8327426160337553,147.9831223628691983,12433.162531645570
Praha 11,26,77.5738461538461538,159.2692307692307692,11976.303076923077
Praha 12,22,69.4490909090909091,161.1363636363636364,11205.500000000000
Zbraslav,11,66.9309090909090909,148.4545454545454545,9846.6290909090909091
Velká Chuchle,26,89.4153846153846154,89.3461538461538462,7993.2307692307692308
Praha 15,18,71.4155555555555556,110.5000000000000000,6520.0244444444444444
